,model,fitness,episode
308,./models\v1_20241121-224118_cc0e3d0b_13000.pth,-137.07690900873266,13000
309,./models\v1_20241121-224118_cc0e3d0b_13100.pth,-135.3488527674209,13100
310,./models\v1_20241121-224118_cc0e3d0b_13200.pth,-566.2967892600248,13200
311,./models\v1_20241121-224118_cc0e3d0b_13300.pth,-141.51230079190785,13300
312,./models\v1_20241121-224118_cc0e3d0b_13400.pth,-156.44764971787706,13400
313,./models\v1_20241121-224118_cc0e3d0b_13500.pth,-546.9742901794137,13500
314,./models\v1_20241121-224118_cc0e3d0b_13600.pth,-134.86674003442505,13600
315,./models\v1_20241121-224118_cc0e3d0b_13700.pth,-130.15750463747602,13700
316,./models\v1_20241121-224118_cc0e3d0b_13800.pth,-576.9935399851314,13800
317,./models\v1_20241121-224118_cc0e3d0b_13900.pth,-186.87342245586305,13900
318,./models\v1_20241121-224118_cc0e3d0b_14000.pth,-324.580040441168,14000
319,./models\v1_20241121-224118_cc0e3d0b_14100.pth,-299.67784632378095,14100
320,./models\v1_20241121-224118_cc0e3d0b_14200.pth,-137.67643663733688,14200
321,./models\v1_20241121-224118_cc0e3d0b_14300.pth,-130.88775545257465,14300
322,./models\v1_20241121-224118_cc0e3d0b_14400.pth,-136.71623360068364,14400
323,./models\v1_20241121-224118_cc0e3d0b_14500.pth,-583.3485706239871,14500
324,./models\v1_20241121-224118_cc0e3d0b_14600.pth,-643.1756063753161,14600
325,./models\v1_20241121-224118_cc0e3d0b_14700.pth,-463.6202142007358,14700
326,./models\v1_20241121-224118_cc0e3d0b_14800.pth,-469.2567623962005,14800
327,./models\v1_20241121-224118_cc0e3d0b_14900.pth,-504.1331317450659,14900
328,./models\v1_20241121-224118_cc0e3d0b_15000.pth,-460.82253470326714,15000
329,./models\v1_20241121-224118_cc0e3d0b_15100.pth,-565.9883019871346,15100
330,./models\v1_20241121-224118_cc0e3d0b_15200.pth,-408.8090146133213,15200
331,./models\v1_20241121-224118_cc0e3d0b_15300.pth,-380.5279116773859,15300
332,./models\v1_20241121-224118_cc0e3d0b_15400.pth,-391.1193271596117,15400
333,./models\v1_20241121-224118_cc0e3d0b_15500.pth,-161.79252923479606,15500
334,./models\v1_20241121-224118_cc0e3d0b_15600.pth,-434.6992632270584,15600
335,./models\v1_20241121-224118_cc0e3d0b_15700.pth,-474.13198730977837,15700
336,./models\v1_20241121-224118_cc0e3d0b_15800.pth,-497.5626927948851,15800
337,./models\v1_20241121-224118_cc0e3d0b_15900.pth,-566.1000038001366,15900
338,./models\v1_20241121-224118_cc0e3d0b_16000.pth,-309.8047519667168,16000
339,./models\v1_20241121-224118_cc0e3d0b_16100.pth,-413.09467803061796,16100
340,./models\v1_20241121-224118_cc0e3d0b_16200.pth,-561.6499644025845,16200
341,./models\v1_20241121-224118_cc0e3d0b_16300.pth,-662.4780349671034,16300
